employee_id,first_name,last_name,annual_salary,start_date,education_level,exit_date,year_of_experience,job_title,company_mail,employment_type,termination_reason,department,state,employee_rating
3427,Uriah,Bridges,60103,20-Sep-19,High School,,8,Production Technician I,uriah.bridges@bilearner.com,Contract,,Production       ,MA,4
3428,Paula,Small,64576,11-Feb-23,Bachelor's Degree,,17,Production Technician I,paula.small@bilearner.com,Contract,,Production       ,MA,3
3429,Edward,Buck,39423,10-Dec-18,PhD,,20,Area Sales Manager,edward.buck@bilearner.com,Full-Time,,Sales,MA,4
3430,Michael,Riordan,51045,21-Jun-21,High School,,8,Area Sales Manager,michael.riordan@bilearner.com,Contract,,Sales,ND,2
3431,Jasmine,Onque,52793,29-Jun-19,Master's Degree,,0,Area Sales Manager,jasmine.onque@bilearner.com,Contract,,Sales,FL,3
3432,Maruk,Fraval,97747,17-Jan-20,Master's Degree,,18,Area Sales Manager,maruk.fraval@bilearner.com,Contract,,Sales,CT,3
3433,Latia,Costa,80119,6-Apr-22,High School,3-Jul-23,11,Area Sales Manager,latia.costa@bilearner.com,Full-Time,Involuntary,Sales,CA,4
3434,Sharlene,Terry,41579,6-Nov-20,Bachelor's Degree,29-Jan-23,0,Area Sales Manager,sharlene.terry@bilearner.com,Contract,Involuntary,Sales,OR,2
3435,Jac,McKinzie,44490,18-Aug-18,High School,,15,Area Sales Manager,jac.mckinzie@bilearner.com,Contract,,Sales,TX,3
3436,Joseph,Martins,97364,21-Jan-22,Master's Degree,29-Jun-23,4,Area Sales Manager,joseph.martins@bilearner.com,Part-Time,Resignation,Sales,TX,5
3437,Myriam,Givens,39252,4-Aug-23,PhD,,19,Area Sales Manager,myriam.givens@bilearner.com,Contract,,Sales,IN,5
3438,Dheepa,Nguyen,79651,10-Aug-18,Bachelor's Degree,4-Nov-19,7,Area Sales Manager,dheepa.nguyen@bilearner.com,Full-Time,Retirement,Sales,GA,3
3439,Bartholemew,Khemmich,86588,25-May-22,Master's Degree,27-Nov-22,12,Area Sales Manager,bartholemew.khemmich@bilearner.com,Full-Time,Involuntary,Sales,CO,3
3440,Xana,Potts,59083,5-Dec-19,Bachelor's Degree,17-Feb-23,9,Area Sales Manager,xana.potts@bilearner.com,Contract,Resignation,Sales,KY,3
3441,Prater,Jeremy,91302,28-Apr-19,Bachelor's Degree,,2,Area Sales Manager,prater.jeremy@bilearner.com,Part-Time,,Sales,NV,4
3442,Kaylah,Moon,44515,9-Jul-19,Master's Degree,16-Jun-22,2,Area Sales Manager,kaylah.moon@bilearner.com,Full-Time,Retirement,IT/IS,MA,2
3443,Kristen,Tate,72555,5-Apr-21,Master's Degree,12-May-23,20,Area Sales Manager,kristen.tate@bilearner.com,Full-Time,Voluntary,IT/IS,KY,3
3444,Bobby,Rodgers,52923,28-Nov-21,Bachelor's Degree,4-Feb-22,20,Area Sales Manager,bobby.rodgers@bilearner.com,Contract,Voluntary,Sales,KY,3
3445,Reid,Park,47681,16-Jan-21,PhD,,12,Area Sales Manager,reid.park@bilearner.com,Contract,,Sales,KY,4
3446,Hector,Dalton,36560,24-Aug-21,Bachelor's Degree,,6,Area Sales Manager,hector.dalton@bilearner.com,Part-Time,,Sales,TX,2
